name,description,latitude,longitude,address,polling district,unused,unused,unused,unused
Markfield Community and Sports Centre,,52.68410311,-1.275701533,"Mayflower Close
Markfield
Leicestershire
LE67 9ST",HAA,,,,
Stanton under Bardon Youth Centre,,52.69256553,-1.307772627,"Main Street
Stanton Under Bardon
Markfield
Leicestershire
LE67 9TN",HAB,,,,
Stanton under Bardon Youth Centre,,52.69256553,-1.307772627,"Main Street
Stanton Under Bardon
Markfield
Leicestershire
LE67 9TN",HAC,,,,
Markfield Community and Sports Centre,,52.68410311,-1.275701533,"Mayflower Close
Markfield
Leicestershire
LE67 9ST",HAD,,,,
Bagworth Community Centre,,52.66991753,-1.340502483,"Station Road
Bagworth
Leicestershire
LE67 1BH ",HBA,,,,
Thornton Community Centre &ndash; Sports Hall,,52.66616785,-1.313439274,"Main Street
Thornton
Leicestershire
LE67 1AH",HBB,,,,
Ratby Church Rooms,,52.6495149,-1.243487599,"Church Lane
Ratby
Leicestershire
LE6 0JF",HBC,,,,
Barlestone C of E Primary School,,52.6474018,-1.374452825,"Barton Road
Barlestone
Nuneaton
Warwickshire
CV13 0EP",HCA,,,,
Barlestone C of E Primary School,,52.6474018,-1.374452825,"Barton Road
Barlestone
Nuneaton
Warwickshire
CV13 0EP",HCB,,,,
Dove Bank Primary School,,52.66187068,-1.38033797,"Bagworth Road
Nailstone
Nuneaton
Warwickshire
CV13 0QJ",HCC,,,,
Botcheston Village Hall,,52.63973611,-1.285892704,"Main Street
Botcheston
Leicestershire
LE9 9FF",IAA,,,,
St Martin&#039;s Church Centre,,52.62724324,-1.295462841,"Main Street
Desford
Leicestershire
LE9 9JP",IAB,,,,
The Old School Kirkby Mallory,,52.60124937,-1.33051938,"Church Road
Kirkby Mallory
Leicestershire
LE9 7QE",IAC,,,,
Peckleton Village Hall,,52.60608171,-1.304795545,"Main Street
Peckleton
Leicestershire
LE9 7RE",IAD,,,,
Stapleton Village Hall,,52.58533066,-1.358643472,"School Lane
Stapleton
Leicestershire
LE9 8JR",IAE,,,,
Newbold Verdon County Primary School &ndash; Community Lounge,,52.63115251,-1.345370327,"Dragon Lane
Newbold Verdon
Leicestershire
LE9 9NG",IAF,,,,
Barton in the Beans Former County Primary School,,52.6538837,-1.414954344,"Main Street
Barton in the Beans
Nuneaton
Warwickshire
CV13 0DJ",JAA,,,,
Barton in the Beans Former County Primary School,,52.6538837,-1.414954344,"Main Street
Barton in the Beans
Nuneaton
Warwickshire
CV13 0DJ",JAB,,,,
Congerstone Village Hall,,52.64522185,-1.457473813,"Main Street
Congerstone
Nuneaton
Warwickshire
CV13 6LZ",JAC,,,,
Congerstone Village Hall,,52.64522185,-1.457473813,"Main Street
Congerstone
Nuneaton
Warwickshire
CV13 6LZ",JAD,,,,
Shackerstone Village Hall,,52.65738255,-1.447151807,"Church Road
Shackerstone
Nuneaton
Warwickshire
CV13 6NN",JAE,,,,
All Saints Church,,52.61716679,-1.372476271,"Church Lane
Cadeby
Nuneaton
Warwickshire
CV13 0AS",JAF,,,,
St Andrew&#039;s Church,,52.64120152,-1.415507818,"Main Street
Carlton
Nuneaton
Warwickshire
CV13 0EZ",JAG,,,,
Market Bosworth Parish Hall,,52.62472615,-1.399993941,"Park Street
Market Bosworth
Nuneaton
Warwickshire
CV13 0LL",JAH,,,,
Sheepy Magna Church,,52.60871301,-1.51987557,"Main Street
Sheepy Magna
Atherstone
Warwickshire
CV9 3QS",JBA,,,,
Norton Juxta Twycross Village Hall,,52.6604375,-1.523360125,"Shelford Lane
Norton-Juxta-Twycross
Atherstone
Warwickshire
CV9 3QD",JBB,,,,
Twycross Village Hall,,52.64278589,-1.506925493,"Burton Road
Twycross
Atherstone
Warwickshire
CV9 3PR",JBC,,,,
Twycross Village Hall,,52.64278589,-1.506925493,"Burton Road
Twycross
Atherstone
Warwickshire
CV9 3PR",JBD,,,,
St Michaels &amp; All Angels C of E Parish Church,,52.57071612,-1.484495245,"Church Lane
Fenny Drayton
Nuneaton
Warwickshir
CV13 6BA",JBE,,,,
St Michaels &amp; All Angels C of E Parish Church,,52.57071612,-1.484495245,"Church Lane
Fenny Drayton
Nuneaton
Warwickshir
CV13 6BA",JBF,,,,
All Saints C of E Parish Church,,52.59158384,-1.519103289,"Church Lane
Ratcliffe Culey
Atherstone
Warwickshire
CV9 3PA",JBG,,,,
Witherley Parish Room,,52.57505636,-1.51597871,"Chapel Lane
Witherley
Atherstone
Warwickshire
CV9 3LR",JBH,,,,
