PollingPlaceId,PollingPlaceAddress1,PollingPlaceAddress2,PollingPlaceAddress3,PollingPlaceAddress4,PollingPlaceAddress5,PollingPlaceAddress6,PollingPlaceAddress7,PollingPlaceEasting,PollingPlaceNorthing
6186,"Canolfan Cymuned Jiwbili/Jubilee Community Centre","45 Rhodfa Morglawdd","45 Seabank Drive",,Prestatyn,"Sir Ddinbych/Denbighshire","LL19 7PP",0,0
6187,"Eglwys Efengylaidd Deva/Deva Evangelical Church","Ffordd Pantycelyn",,,Prestatyn,"Sir Ddinbych/Denbighshire","LL19 8YE",0,0
6191,"Neuadd Y Brenin/Kings Hall","Kings Ave",Prestatyn,,,"Sir Ddinbych/Denbighshire","LL19 9AA",0,0
6195,"Canolfan Hamdden Prestatyn Leisure Centre","Rhodfa Tywysog/Princes Avenue",,,Prestatyn,"Sir Ddinbych/Denbighshire","LL19 8RS",0,0
6199,"Canolfan Cymuned Ty Caradog","Caradog House Community Centre","Ffordd Caradog / Caradog Road",,Prestatyn,"Sir Ddinbych/Denbighshire","LL19 7PF",0,0
6202,"Neuadd Eglwys y Plwyf/Parish Church Hall","Stryd Fawr / High Street",,,Prestatyn,"Sir Ddinbych/Denbighshire","LL19 9AF",0,0
6206,"Canolfan Cymuned/Community Centre","Ffordd Talargoch","Gallt Melyd/Meliden",,Prestatyn,"Sir Ddinbych/Denbighshire","LL19 8LA",0,0
6209,"Ysgol Dewi Sant","Ffordd Rhuddlan/Rhuddlan Road",,,Rhyl,"Sir Ddinbych/Denbighshire","LL18 2RE",0,0
6213,"Ystafell Weithgareddau / Activity Room","Canolfan Hamdden Y Rhyl","Rhyl Leisure Centre","Grange Road",Rhyl,"Sir Ddinbych / Denbighshire","LL18 4BY",0,0
6217,"Ysgol Llewelyn","Ffordd Trellewelyn/Trellewelyn Road",,,"Y Rhyl/ Rhyl","Sir Ddinbych/Denbighshire","LL18 4EU",0,0
6221,"Caffi`r Gerddi Botanig/Botanical Gardens Cafe","Ffordd Grange/Grange Road",,,Rhyl,"Sir Ddinbych/Denbighshire","LL18 4DA",0,0
6225,"Canolfan Cymuned Ffordd Las Community Centre","20 Ffordd Las",Rhyl,,,"Sir Ddinbych/Denbighshire","LL18 2HH",0,0
6229,"Eglwys Ddiwygiedig Unedig/United Reformed Church","Ffordd Tynewydd/Tynewydd Road",Rhyl,,,"Sir Ddinbych/Denbighshire","LL18 3ST",0,0
6232,"Ystafelloedd Cymuned/Community Rooms","Maes Emlyn",Rhyl,,,"Sir Ddinbych/Denbighshire","LL18 3SF",0,0
6236,"Ystafell Y Foryd / Foryd Room","Canolfan Wellington/Wellington Centre",,"Wellington Road",Rhyl,"Sir Ddinbych/Denbighshire","LL18 1LE",0,0
6240,"Neuadd Tref Y Rhyl / Rhyl Town Hall","Ffordd Wellington / Wellington Road",,,Rhyl,"Sir Ddinbych/Denbighshire","LL18 1AB",0,0
6243,"Ysgol Rhewl/Rhewl School",Rhewl,,,Rhuthun/Ruthin,"Sir Ddinbych/Denbighshire","LL15 2TU",0,0
6247,"Canolfan Awelon Centre","Ffordd Yr Ysgol/School Road",,,Rhuthun/Ruthin,"Sir Ddinbych/Denbighshire","LL15 1BL",0,0
6251,"Canolfan Cymuned Llanfwrog","Llanfwrog Community Centre","Stryd Mwrog/Mwrog Street",,Rhuthun/Ruthin,"Sir Ddinbych/Denbighshire","LL15 1LE",0,0
6257,"Festri Capel Salem Chapel Vestry",Cyffylliog,,,Rhuthun/Ruthin,"Sir Ddinbych/Denbighshire","LL15 2DN",0,0
6261,"Neuadd Yr Eglwys/Church Hall",Clocaenog,,,Rhuthun/Ruthin,"Sir Ddinbych/Denbighshire","LL15 2AT",0,0
6265,"Canolfan Cae Cymro",Clawddnewydd,,,Rhuthun/Ruthin,"Sir Ddinbych/Denbighshire","LL15 2ND",0,0
6269,"Festri Capel Derwen Chapel Vestry",Derwen,,,Corwen,"Sir Ddinbych/Denbighshire","LL21 9SG",0,0
6272,"Neuadd y Pentre/Village Hall",Pwllglas,,,Rhuthun/Ruthin,"Sir Ddinbych/Denbighshire","LL15 2PB",0,0
6275,"Canolfan Addysg Bro Cinmeirch","Llanrhaeadr Yng Nghimeirch",,,Dinbych/Denbigh,"Sir Ddinbych/Denbighshire","LL16 4NL",0,0
6279,"Ty`r Eglwys/Church House",Nantglyn,,,Dinbych/Denbigh,"Sir Ddinbych/Denbighshire","LL16 5PL",0,0
6282,"Canolfan Cymuned/Community Centre","Llanbedr Dyffryn Clwyd",,,Rhuthun/Ruthin,"Sir Ddinbych/Denbighshire","LL15 1UP",0,0
6286,"Festri Capel Gellifor Chapel Vestry",Gellifor,,,Rhuthun/Ruthin,"Sir Ddinbych/Denbighshire","LL15 1SF",0,0
6290,"Canolfan Dewi Sant/Saint Davids Centre",Eryrys,,,"Yr Wyddgrug/Mold","Sir Ddinbych/Denbighshire","CH7 4BX",0,0
6293,"Tafarn Y Raven/The Raven Inn",Llanarmon-yn-Ial,,,"Yr Wyddgrug/Mold","Sir Ddinbych/Denbighshire","CH7 4QE",0,0
6296,"Canolfan Cymuned/Community Centre",Llanferres,,,"Yr Wyddrgug/Mold","Sir Ddinbych/Denbighshire","CH7 5SP",0,0
6300,"Neuadd y Pentre/Village Hall",Llanelidan,,,Rhuthun/Ruthin,"Sir Ddinbych/Denbighshire","LL15 2PT",0,0
6304,"Neuadd Eleanor","Llanfair Dyffryn Clwyd",,,Rhuthun/Ruthin,"Sir Ddinbych/Denbighshire","LL15 2RU",0,0
6307,"Festri Capel Bethel Chapel Vestry",Pentrecelyn,,,Rhuthun/Ruthin,"Sir Ddinbych/Denbighshire","LL15 2HE",0,0
6310,"Canolfan Cymuned/Community Centre","Melin y Wig",,,Corwen,"Sir Ddinbych/Denbighshire","LL21 9RE",0,0
6313,"Caban Y Plwyf","Ysgol Pant Pastynog",,Prion,Dinbych/Denbigh,"Sir Ddinbych/Denbighshire","LL16 4SG",0,0
6317,"Neuadd Goffa/Memorial Hall",Llandegla,,,Wrecsam/Wrexham,"Sir Ddinbych/Denbighshire","LL11 3AW",0,0
6321,"Ystafell y Plwyf/Parish Room",Bryneglwys,,,Corwen,"Sir Ddinbych/Denbighshire","LL21 9LP",0,0
6324,"Canolfan Cymuned/Community Centre",Gwyddelwern,,,Corwen,"Sir Ddinbych/Denbighshire","LL21 9DH",0,0
