"Ludlow Infant School, Ludlow Road","JE","Peartree",50.9110549080036,-1.41230684466369
"Scout HQ, Spring Road","JF","Peartree",50.9110549080036,-1.41230684466369
"Highfield Church Centre, Highfield Lane","KA","Portswood",50.9110549080036,-1.41230684466369
"Portswood Library, 251 Portswood Road","KB","Portswood",50.9110549080036,-1.41230684466369
"Scout H.Q. Brickfield Road","KC","Portswood",50.9110549080036,-1.41230684466369
"Portswood Church Hall, Portswood Road","KD","Portswood",50.9110549080036,-1.41230684466369
"St. Denys Church Centre, Dundee Road","KE","Portswood",50.9110549080036,-1.41230684466369
"Nutfield Nursery, Nutfield Court, off Lower Brownhill Road","LA","Redbridge",50.9110549080036,-1.41230684466369
"Colne Avenue Baptist Church Hall, Colne Avenue","LB","Redbridge",50.9110549080036,-1.41230684466369
"Oasis Community Hub, Green Lane","LC","Redbridge",50.9110549080036,-1.41230684466369
"All Saints Church Hall, Kendal Avenue","LD","Redbridge",50.9110549080036,-1.41230684466369
"Mansel Park Pavilion, Evenlode Road","LE","Redbridge",50.9110549080036,-1.41230684466369
"Millbrook Christian Centre, Wimpson Lane/ Kendal Avenue","LF","Redbridge",50.9110549080036,-1.41230684466369
"The Ship Inn (Function Room), 41 Old Redbridge Road","LG","Redbridge",50.9110549080036,-1.41230684466369
"The Church Of St. Judes, Warren Avenue","MA","Shirley",50.9110549080036,-1.41230684466369
"Shirley Warren Baptist Church, Warren Crescent","MB","Shirley",50.9110549080036,-1.41230684466369
"Isaac Watts Church, Luccombe Road","MC","Shirley",50.9110549080036,-1.41230684466369
"Salvation Army Hall, Victor Street","MD","Shirley",50.9110549080036,-1.41230684466369
"Shirley Parish Hall, St. James Road","ME","Shirley",50.9110549080036,-1.41230684466369
"St. James Road Methodist Church Hall, St James Road","MF","Shirley",50.9110549080036,-1.41230684466369
"Sholing Junior School, Middle Road","NA","Sholing",50.9110549080036,-1.41230684466369
"Southampton Amateur Boxing Club (Pax Hall), North East Road","NB","Sholing",50.9110549080036,-1.41230684466369
"Salvation Army Hall, North East Road","NC","Sholing",50.9110549080036,-1.41230684466369
"St. Marys Parish Centre, St. Monica Road","ND","Sholing",50.9110549080036,-1.41230684466369
"Sholing Community Centre, Butt's Road","NE","Sholing",50.9110549080036,-1.41230684466369
"Oasis Academy Mayfield, The Grove","NF","Sholing",50.9110549080036,-1.41230684466369
"Hardmoor Early Years Centre, Leaside Way","OA","Swaythling",50.9110549080036,-1.41230684466369
"St. Albans Church, Tulip Road","OB","Swaythling",50.9110549080036,-1.41230684466369
"Swaythling Primary School, Mayfield Road","OC","Swaythling",50.9110549080036,-1.41230684466369
"Swaythling Baptist Church, Fleming Road","OD","Swaythling",50.9110549080036,-1.41230684466369
"South Stoneham Church Hall, St. Mary's Church Close, off Wes","OE","Swaythling",50.9110549080036,-1.41230684466369
"Mansbridge Primary School Community Room, Octavia Road","OF","Swaythling",50.9110549080036,-1.41230684466369
"St Patricks Church Hall, Jn of Manor Road South/Portsmouth Road","PA","Woolston",50.9110549080036,-1.41230684466369
"Woolston Community Centre, Church Road","PB","Woolston",50.9110549080036,-1.41230684466369
"Weston Church Hall, Weston Lane","PC","Woolston",50.9110549080036,-1.41230684466369
"Scout HQ, Tickleford Drive","PD","Woolston",50.9110549080036,-1.41230684466369
"Weston Shore Infant School, Foxcott Close, SO19 9JQ","PE","Woolston",50.9110549080036,-1.41230684466369
