"POLLING DISTRICT",Address1,Address2,Address3,Address4,Address5,Postcode,UPRN,"STATION NO"
PAB,"HOPKINSTOWN O.A.P. HALL","FOUNDRY ROAD",HOPKINSTOWN,PONTYPRIDD,,"CF37 2RA",10024277464,110
PAC,"PANTYGRAIGWEN COMMUNITY CENTRE","PANTYGRAIGWEN ROAD",PONTYPRIDD,,,"CF37 2RR",200003000000,111
PAD,"TABOR HALL (HOPKINSTOWN)","VAUGHAN STREET",PWLLGWAUN,PONTYPRIDD,,,200004000000,112
PAE,"MAESYCOED PRIMARY SCHOOL","LLANWERN ROAD",MAESYCOED,PONTYPRIDD,,"CF37 1EQ",200004000000,113
PBA,"PONTYPRIDD LIBRARY","LIBRARY ROAD",,PONTYPRIDD,,"CF37 2DY",200003000000,114
PBB,"GLAMORGAN MISSION FOR THE DEAF","LANPARK ROAD",PONTYPRIDD,,,"CF37 2DH",100101000000,115
PBC,"MAYFIELD ROAD CHURCH HALL","MAYFIELD ROAD",WHITEROCK,PONTYPRIDD,,"CF37 2HA",10012770646,116
PCA,"COEDPENMAEN SCHOOL","COEDPENMAEN CLOSE",COEDPENMAEN,PONTYPRIDD,,"CF37 4LE",100101000000,117
PCB,"TRALLWNG COMMUNITY CENTRE","RALPH STREET",TRALLWNG,PONTYPRIDD,,"CF37 4RS",200003000000,118
PDA,"ILAN COMMUNITY CENTRE","GLYNTAFF ESTATE",RHYDYFELIN,PONTYPRIDD,,"CF37 5HL",200003000000,119
PDB,"RHYDYFELIN COMMUNITY CENTRE","DUFFRYN ROAD",RHYDYFELIN,PONTYPRIDD,,"CF37 5RW",200004000000,120
PDC,"CARDINAL NEWMAN SCHOOL","DYNEA ROAD",RHYDFELEN,PONTYPRIDD,,"CF37 5DP",200004000000,121
PEA,"RHYDYFELIN COMMUNITY CENTRE","DUFFRYN ROAD",RHYDYFELIN,PONTYPRIDD,,"CF37 5RW",200004000000,122
PEB,"ST LUKES HALL","CARDIFF ROAD",HAWTHORN,PONTYPRIDD,,,10012770916,123
PEC,"BETHEL CHAPEL HALL","CARDIFF ROAD",HAWTHORN,PONTYPRIDD,,,10012770914,124
PFA,"GLYNTAFF CHURCH HALL","GLYNTAFF ROAD",GLYNTAFF,PONTYPRIDD,,"CF37 4AS",10024274487,125
PFB,"PRINCESS STREET CHURCH HALL","PRINCESS STREET",TREFOREST,PONTYPRIDD,,,10012770727,126
PFC,"BOYS CLUB,  QUEEN STREET","QUEEN STREET",TREFOREST,PONTYPRIDD,,"CF37 1RN",200004000000,127
PFD,"CASTLE STREET CHURCH HALL","UNITED REFORMED CHURCH","CASTLE STREET",TREFOREST,PONTYPRIDD,,10012771394,128
PFE,"PARC LEWIS PRIMARY SCHOOL",BROADWAY,PONTYPRIDD,,,"CF37 1BE",200003000000,129
PGA,"GRAIG COMMUNITY CENTRE","RICKARDS STREET",GRAIG,PONTYPRIDD,,"CF37 1RD",10001301840,130
PGB,"TEMPLE CHAPEL HALL","LLANTRISANT ROAD",GRAIG,PONTYPRIDD,,,10024274965,131
PHA,"OXFORD HALL (NANTGARW)","REAR OF OXFORD STREET",NANTGARW,CARDIFF,,"CF15 7ST",200004000000,132
PHB,"TAWELFRYN COMMUNITY CENTRE","HEOL Y COED",TAWELFRYN,NANTGARW,,"CF15 7UE",200004000000,133
PHC,"TAFFS WELL VILLAGE HALL","CARDIFF ROAD","TAFFS WELL",,,"CF15 7PL",100101000000,134
PHD,"FOOTBALL CLUB TAFFS WELL","RHIWR DDAR","TAFFS WELL",CARDIFF,,"CF15 7HB",10090595306,135
PHE,"TY-RHIW COMMUNITY CENTRE",TY-RHIW,"TAFFS WELL",,,"CF15 7RS",200003000000,136
PIA,"ALL HALLOWS CHURCH HALL","SCHOOL ROAD",MISKIN,PONTYCLUN,,"CF72 8PG",200004000000,137
PIB,"ALL HALLOWS CHURCH HALL","SCHOOL ROAD",MISKIN,PONTYCLUN,,"CF72 8PG",200004000000,138
PIC,"BETHEL BAPTIST CHURCH","HEOL MISKIN",PONTYCLUN,,,"CF72 9AJ",200002000000,139
PID,"PONT-Y-CLUN COMMUNITY CENTRE",HEOL-YR-ORSAF,"COWBRIDGE ROAD",PONT-Y-CLUN,,"CF72 9EE",200003000000,141
PIE,"LLANHARRY COMMUNITY CENTRE",TYLACOCH,LLANHARRY,,,"CF72 9LF",10012772717,178
PJA,"GWAUNCELYN SCHOOL","HEOL DEG",TONTEG,PONTYPRIDD,,"CF38 1ET",100101000000,143
PJB,"TONTEG COMMUNITY CENTRE","MAESTEG GROVE",TONTEG,PONTYPRIDD,,"CF38 1ND",200003000000,144
PKA,"TY ILLTYD COMMUNITY CENTRE","ST ILLTYDS ROAD","CHURCH VILLAGE",,,"CF38 1EB",200004000000,145
PKB,"TY ILLTYD COMMUNITY CENTRE","ST ILLTYDS ROAD","CHURCH VILLAGE",,,"CF38 1EB",200004000000,146
PLA,"NEUADD DOWLAIS COMMUNITY CENTRE","CROWN HILL","LLANTWIT FARDRE",,,"CF38 2NA",100101000000,147
PLB,"NEUADD DOWLAIS COMMUNITY CENTRE","CROWN HILL","LLANTWIT FARDRE",,,"CF38 2NA",100101000000,148
PLC,"EFAIL ISAF VILLAGE HALL",HEOL-Y-PARC,"EFAIL ISAF",PONTYPRIDD,,"CF38 1AN",100101000000,149
PMA,"BEDDAU AND TYNANT COMMUNITY LIBRARY","PARISH ROAD",TYNANT,,,"CF38 2DA",200003000000,150
PMB,"GWAUNMEISGYN JUNIOR SCHOOL","WOODLAND ROAD",TYNANT,PONTYPRIDD,,"CF38 2SE",100101000000,151
PNA,"LLYS Y CWM HALL","GWAUN MISKIN ROAD",BEDDAU,PONTYPRIDD,,"CF38 2AY",100101000000,152
PNB,"LLYS Y CWM HALL","GWAUN MISKIN ROAD",BEDDAU,PONTYPRIDD,,"CF38 2AY",100101000000,153
POA,"CHURCH HALL SWAN STREET","CHURCH HALL","SWAN STREET",LLANTRISANT,,"CF72 8EN",10012771398,154
POB,"SOUTHGATE PARK PAVILION","TIR MEIBION LANE",SOUTHGATE,LLANTRISANT,PONTYCLUN,"CF72 8DJ",10012772973,155
PPA,"TALBOT GREEN COMMUNITY CENTRE.","COWBRIDGE ROAD","TALBOT GREEN",,,"CF72 8HS",200003000000,156
PQA,"COEDELY COMMUNITY CENTRE","ELY VALLEY ROAD",COEDELY,TONYREFAIL,,"CF39 8BL",200004000000,158
PQB,"CWMLAI PRIMARY SCHOOL","PENYGARREG ROAD",TONYREFAIL,,,"CF39 8AS",200002000000,159
PQC,"PRITCHARD STREET COMMUNITY CENTRE","PRITCHARD STREET",TONYREFAIL,,,"CF39 8PA",200004000000,160
PQD,"TREF-Y-RHYG PRIMARY SCHOOL","LLANTRISANT ROAD",TONYREFAIL,PORTH,,"CF39 8PR",100101000000,161
PQE,"CAPEL FARM RESOURCE CENTRE","HEOL TY LLWYD",TONYREFAIL,,,"CF39 8LW",200004000000,162
PQF,"TONYREFAIL PRIMARY SCHOOL","MARTINS CRESCENT",TONYREFAIL,PORTH,,"CF39 8NT",100101000000,163
PRA,"EDMONDSTOWN O.A.P. HALL","EDMONDSTOWN ROAD",EDMONDESTOWN,TONYPANDY,,"CF40 1NR",200004000000,164
PRB,"WILLIAMSTOWN PRIMARY SCHOOL","DINAS ISAF WEST",WILLIAMSTOWN,TONYPANDY,,"CF40 1AG",10090594385,165
PRC,"TONYREFAIL COMPREHENSIVE SCHOOL","OLD GRAMMAR WING","GILFACH ROAD",TONYREFAIL,,"CF39 8HG",100101000000,166
PRD,"COMMUNITY CENTRE THOMASTOWN","THE SQUARE",THOMASTOWN,TONYREFAIL,,"CF39 8DS",200003000000,167
RAA,"BOWLING PAVILION BLAENRHONDDA","OFF BROOK STREET",BLAENRHONDDA,TREHERBERT,,"CF42 5SY",10012772638,1
RAB,"BLAENCWM DAY CENTRE","HENDREWEN ROAD",BLAENCWM,TREORCHY,,"CF42 5DR",200004000000,2
RAC,"BLAEN Y CWM CHAPEL","WYNDHAM STREET",TYNEWYDD,TREORCHY,,"CF42 5BT",10012770691,3
RAD,"OAP HALL (TYNEWYDD)","GWENDOLINE STREET",TYNEWYDD,TREHERBERT,,"CF42 5LW",10024277346,4
RAE,"CYLCH MEITHRIN, TREHERBERT YOUTH CENTRE","DUMFRIES STREET",TREHERBERT,TREORCHY,,"CF42 5PN",200004000000,5
RAF,"PENYRENGLYN PRIMARY SCHOOL","BAGLAN STREET",TREHERBERT,TREORCHY,,,10001299987,6
RBA,"YNYSWEN WELFARE HALL","YNYSWEN ROAD",TREORCHY,RHONDDA,,,200002000000,7
RBB,"ST MATTHEWS CHURCH HALL","BUTE STREET",TREORCHY,RHONDDA,,,10023821124,8
RBC,"TREORCHY AND CWMPARC BOYS AND GIRLS CLUB","STATION ROAD",TREORCHY,RHONDDA,,"CF42 6UA",,9
RBD,"PENCELLI BOWLING PAVILION","PENCELLI PARK",TREORCHY,RHONDDA,,"CF42 6UH",10001301831,10
RBE,"ST GEORGES CHURCH HALL","TALLIS STREET",CWMPARC,RHONDDA,,,10012770944,11
RBF,"PARC HALL CWMPARC","PARK ROAD",CWMPARC,TREORCHY,,"CF42 6LD",200003000000,12
RCA,"OASIS CHURCH HALL","LLEWELLYN STREET",PENTRE,RHONDDA,,"CF41 7BY",10012770894,13
RCB,"CHURCH HALL (ST JOHN BAPTIST)","CHURCH ROAD","TON PENTRE",PENTRE,,,10001301104,14
RCC,"TON INFANTS SCHOOL","SCHOOL STREET","TON PENTRE",PENTRE,,"CF41 7LS",100101000000,15
RDA,"BRYNNAR J. JONES DAY CENTRE","REES STREET",GELLI,PENTRE,RHONDDA,"CF41 7NF",200003000000,16
RDB,"YGG BRONLLWYN","COLWYN ROAD",GELLI,,,"CF41 7NW",200003000000,17
RDC,"YSTRAD BOYS CLUB","WILLIAM STREET",YSTRAD,RHONDDA,,"CF41 7QU",10001301033,18
RDD,"BODRINGALLT PRIMARY SCHOOL","BODRINGALLT TERRACE",YSTRAD,RHONDDA,,"CF41 7QU",200003000000,19
RDE,"PROVIDENCE CHURCH YSTRAD","TRAFALGAR TERRACE",YSTRAD,,RHONDDA,"CF41 7RG",200003000000,20
REA,"COLEG Y GYMOEDD","LLWYNYPIA CAMPUS",LLWYNYPIA,TONYPANDY,,"CF40 2TQ",10012772488,21
REB,"RHONDDA SEA CADETS HALL","LLWYNYPIA ROAD",LLWYNYPIA,TONYPANDY,,"CF40 2JQ",200004000000,22
REC,"LLWYNYPIA PRIMARY SCHOOL","SCHOOL STREET",LLWYNYPIA,TONYPANDY,,"CF40 2HL",100101000000,23
RED,"ST CYNONS CHURCH HALL","PARTRIDGE ROAD",LLWYNYPIA,TONYPANDY,,,10012771930,24
RFA,"CLYDACH VALE COMMUNITY CENTRE","CLYDACH ROAD","CLYDACH VALE",TONYPANDY,,"CF40 2BD",200003000000,25
RFB,"ZOAR RESIDENTIAL HOME","MARION STREET","CLYDACH VALE",TONYPANDY,,"CF40 2DL",200002000000,26
RGA,"TONYPANDY PRIMARY SCHOOL","PRIMROSE STREET",TONYPANDY,,,"CF40 1BQ",100101000000,27
RGB,"ST ANDREW'S CHURCH","CHURCH STREET",TONYPANDY,,,,10012770768,28
RHA,"ALL SAINTS CHURCH HALL","RHYS STREET",TREALAW,TONYPANDY,,,10023822950,29
RHB,"ALAW PRIMARY SCHOOL","EGYPT STREET",TREALAW,TONYPANDY,,"CF40 2UU",100101000000,30
RIA,"SOAR CENTRE","TYLACELYN ROAD",PENYGRAIG,TONYPANDY,,"CF40 1JZ",10012771418,31
RIB,"YSGOL YR EOS","BISHOP STREET",PENYGRAIG,TONYPANDY,,"CF40 1PQ",100101000000,32
RIC,"PENYGRAIG BOYS AND GIRLS CLUB","BROOK STREET",WILLIAMSTOWN,RHONDDA,,"CF40 1RD",10012771725,33
RID,"TAI EDUCATION CENTRE","VICARAGE ROAD",PENYGRAIG,TONYPANDY,,"CF40 1HL",10001301961,34
RJA,"ST JOHNS CHURCH CENTRE","BELMONT TERRACE",CYMMER,PORTH,,"CF39 9LB",10001301048,35
RJB,"CYMMER JUNIOR SCHOOL","HIGH STREET",CYMMER,PORTH,,"CF39 9EY",200003000000,36
RJC,"ENGLISH CONGREGATIONAL CHURCH","TREBANOG ROAD",TREBANOG,PORTH,,,200003000000,37
RJD,"WAUN WEN COMMUNITY CENTRE","RHIWGARN ROAD",TREBANOG,PORTH,,"CF39 9LX",10001301038,38
RJE,"PORTH UNITED REFORMED CHURCH","PONTYPRIDD ROAD",PORTH,,,"CF39 9PF",100101000000,39
RJF,"RHONDDA HERITAGE PARK MUSEUM","LEWIS MERTHYR COLLIERY","COED CAE ROAD",TREHAFOD,RHONDDA,"CF37 2NP",200003000000,40
RJG,"HAFOD PRIMARY SCHOOL","WAYNE STREET",TREHAFOD,PONTYPRIDD,,"CF37 2NL",100101000000,41
RKA,"DINAS MISSION HALL","DINAS ROAD",DINAS,TONYPANDY,,"CF40 1JD",10012771419,42
RKB,"ALEC JONES DAY CENTRE","STATION ROAD",PORTH,,,"CF39 9NR",200003000000,43
RKC,"LLWYNCELYN INFANTS SCHOOL","OFF HEATHER WAY",LLWYNCELYN,PORTH,,"CF39 9TL",200003000000,44
RKD,"PORTH INFANTS SCHOOL","MARY STREET",PORTH,,,"CF39 9UH",100101000000,45
RKE,"PORTH COUNTY COMMUNITY SCHOOL","CEMETERY ROAD",PORTH,,,"CF39 0BS",100101000000,46
RLA,"BETHANY BAPTIST CHAPEL","YNYSHIR ROAD",YNYSHIR,PORTH,,"CF39 0EL",10090593999,47
RLB,"WATTSTOWN COMMUNITY CENTRE","VICTORIA TERRACE",WATTSTOWN,PORTH,,"CF39 0PE",10090595923,48
RMA,"PONTYGWAITH COMMUNITY CENTRE","LLEWELLYN STREET",PONTYGWAITH,FERNDALE,,"CF43 3LD",100101000000,49
RMB,"TYLORSTOWN WELFARE HALL","EAST ROAD",TYLORSTOWN,FERNDALE,,"CF43 3DA",100101000000,50
RMC,"LLANFAIR CHURCH","HEOL Y WAUN",PENRHYS,FERNDALE,RHONDDA,"CF43 3RH",10023821412,51
RNA,"MORLAIS HALL","NORTH ROAD",FERNDALE,RHONDDA,,,100101000000,52
RNB,"DARREN PARK PRIMARY SCHOOL","FREDERICK STREET",FERNDALE,,,"CF43 4LE",200004000000,54
RNC,"MORLAIS HALL","NORTH ROAD",FERNDALE,RHONDDA,,,100101000000,53
ROA,"FERNDALE COMMUNITY SCHOOL",HIGHFIELD,FERNDALE,,,"CF43 4AR",200004000000,55
ROB,"MAERDY AND FERNDALE COMMUNITY BASE","9 MAES Y RHEDYN",MAERDY,FERNDALE,,"CF43 4TL",100101000000,56
ROC,"SEION VESTRY","MAERDY ROAD",MAERDY,,,,10001301128,57
ROD,"TEIFY HOUSE","STATION ROAD",MAERDY,FERNDALE,RHONDDA,"CF43 4BE",200004000000,58
