PollingPlaceId	PollingPlaceAddress1	PollingPlaceAddress2	PollingPlaceAddress3	PollingPlaceAddress4	PollingPlaceAddress5	PollingPlaceAddress6	PollingPlaceAddress7
2415	"Stockwell Primary School"	"Stockwell Road"	London				"SW9 9TG"
2419	"Brixton Seventh Day Adventist Church Hall"	"Santley Street"	London				"SW4 7QG"
2423	"Brixton Baptist Church"	"Corrance Road"	London				"SW2 5RD"
2430	"Clapham Library"	"Mary Seacole Centre"	"89 Clapham High Street"		London		"SW4 7BD"
2433	"Fenwick Hall"	"Fenwick Estate"	"128 Willington Road"	London			"SW9 9ND"
2437	"Larkhall Primary School"	"Lower School Hall"	"Smedley Street"	London			"SW4 6PH"
2441	"St Andrew`s Ce Primary School"	"Kay Road"	Stockwell	London			"SW9 9DE"
2445	"Clapham Manor Primary School"	"Belmont Road"	Clapham	London			"SW4 0BZ"
2449	"Heathbrook Primary School"	"St. Rule Street"	London				"SW8 3EH"
2453	"Macaulay Ce Primary School"	"Victoria Rise"	Clapham	London			"SW4 0NU"
2457	"Triangle Nursery School"	"25 William Bonney Estate"	"Clapham Crescent"	London			"SW4 7JQ"
2470	"Berridge Road Estate Community Resource Centre"	"13-17 Bridgetown Close"			London		"SE19 1JZ"
2514	"Springfield Methodist Church Hall"	"200 Wandsworth Road"					"SW8 2JU"
2518	"Longfield Hall"	"50 Knatchbull Road"			London		"SE5 9QY"
2519	"Bolney Meadow Community Centre"	"31 Bolney Street"			London		"SW8 1EZ"
2521	"Bolney Meadow Community Centre"	"31 Bolney Street"			London		"SW8 1EZ"
