DISTRICT,POLLING_PLACE_NAME,STATION_CARD_NUMBERS,UPRN,ADDRESS,EASTING,NORTHING,COORD_SOURCE,LAST_CHECK_DATE
FHB,"15th Finchley Scout Group , 104 Grove Road, North Finchley, London N12 9EA","56, 57",200147922,"102-104 Grove Road, LONDON, N12 9EA",526631,192265,NLPG BLPU,3/30/16
FHC,"Summerside School, Crossway, Finchley N12 0QU","58, 59",200029817,"Summerside Primary School, Crossway, LONDON, N12 0QU",526933,191578,NLPG BLPU,3/30/16
FHD,"Our Lady of Lourdes RC Primary School, Bow Lane, Finchley N12 0JP","60, 61",200012852,"Our Lady Of Lourdes Catholic Primary School, Bow Lane, LONDON, N12 0JP",526414,190974,NLPG BLPU,3/30/16
FIA,The Green Man Community Centre at Strawberry Vale Estate Finchley N2 9BA,"62, 63",200195077,"Green Man Community Centre, Strawberry Vale, LONDON, N2 9BA",526657,190704,NLPG BLPU,3/30/16
FIB,"East Finchley Library, 226 High Road, London N2 9BB",64,200061457,"East Finchley Library, 226 High Road, LONDON, N2 9BB",527027,189932,NLPG BLPU,3/30/16
FIC,"Finchley Youth Centre, 142 High Road East Finchley N2 9ED","65, 66",200061427,"Finchley Youth Theatre, 142 High Road, LONDON, N2 9ED",527242,189640,NLPG BLPU,3/30/16
FID,"Bishop Douglass RC High School, Hamilton Road East Finchley N2 0SQ","67, 68",200055606,"Bishop Douglass School, Hamilton Road, LONDON, N2 0SQ",526198,189974,NLPG BLPU,3/30/16
FJA,"Brookland Infants School, Hill Top Hampstead Garden Suburb NW11 6EJ ",69,200063516,"Brookland Infant and Nursery School, Hill Top, LONDON, NW11 6EJ",525605,189468,NLPG BLPU,3/30/16
FJB,"Portable Office, The Green Widecombe Way/Vivian Way N2",70,,,526690,188930,digitised over OS MasterMap,3/30/16
FJC,"Portable Office, in Car Park, The Synagogue, Norrice Lea, Garden Suburb      N2 0RE",71,200085724,"Hampstead Garden Suburb Synagogue, Norrice Lea, LONDON, N2 0RE",526632,188831,NLPG BLPU,3/30/16
FJD,"St Jude’s Church Hall, 1 South Square London NW11 7AH","72, 73",200020344,"St Judes Church, Central Square, London",525518,188362,NLPG BLPU,3/30/16
FJE,"St Edward the Confessor Church Hall, Hoop Lane Golders Green, NW11 7NH ",74,200150855,"Church Hall, St Edward The Confessor Roman Catholic Church, 700 Finchley Road, London",525094,187972,NLPG BLPU,3/30/16
FJF,"Fellowship House, 136A Willifield Way, London NW11 6YD",75,200153959,"136A Willifield Way, LONDON, NW11 6YD",525093,188917,NLPG BLPU,3/30/16
FKA,"Harris Room, Trinity Church, Rodborough Road Childs Hill NW11 8NH","76, 77",200228398,"Trinity Methodist Church Hall, 92 Hodford Road, LONDON, NW11 8EG",525053,187323,NLPG BLPU,3/30/16
FKB,"All Saints Church of England School, Cricklewood Lane, London NW2 2TH","78, 79",200028892,"All Saints Church Of England Primary School, Cricklewood Lane, LONDON, NW2 2TH",524860,186352,NLPG BLPU,3/30/16
FKC,"St Agnes Centre, corner of Gillingham Road and Cricklewood Lane Cricklewood NW2 1HR","80, 81",200157000,"St Agnes Centre, Gillingham Road, LONDON, NW2 1DQ",524236,186187,NLPG BLPU,3/30/16
FKD,"Trading Hut, Rear of 22-23 Needham Terrace, Cricklewood NW2 6QL",82,200157002,"Trading Hut, Allotment Gardens, Allotment Way, London",523657,186124,NLPG BLPU,3/30/16
FLA,St Mary & Archangel Michael Coptic Orthodox Church Hall Cranbourne Gardens Golders Green NW11 0HU,"83, 84, 85",200157003,"Church Hall, St Mary And Archangel Michael Coptic Orthodox Church, Cranbourne Gardens, LONDON, NW11 0HS",524565,188645,NLPG BLPU,3/30/16
FLB,Menorah Primary School 1-3 The Drive Golders Green NW11 9SP,"86, 87",200148669,"Menorah Primary School, 1-3 The Drive, LONDON, NW11 9SP",524348,187711,NLPG BLPU,3/30/16
FLC,"Claremont Primary School Claremont Road, Cricklewood NW2 1AB","88, 89",200023491,"Claremont Primary School, Claremont Road, LONDON, NW2 1AB",523635,186707,NLPG BLPU,3/30/16
FMA,St Philip The Apostle Parish Centre Gravel Hill Finchley N3 3RJ,"90, 91",200157004,"Church Hall, Saint Philip The Apostle Roman Catholic Church, Gravel Hill, LONDON, N3 3RJ",524884,190310,NLPG BLPU,3/30/16
FMB,"The Dining Room, Avenue House East End Road Finchley N3 3QE",92,200035697,"Avenue House, 17 East End Road, LONDON, N3 3QE",525209,190271,NLPG BLPU,3/30/16
FMC,"Finchley Baptist Church Hall, Stanhope Avenue Finchley N3 3QL","93, 94",200035598,"Church End Baptist Church, East End Road, LONDON, N3 3QL",525013,190165,NLPG BLPU,3/30/16
FMD,"Chalgrove School, Chalgrove Gardens, Finchley N3 3PL","95, 96",200020379,"Chalgrove Primary School, Chalgrove Gardens, LONDON, N3 3PL",524338,189534,NLPG BLPU,3/30/16
FME,"Portable Office at Hendon Cemetery, Holders Hill Road Hendon NW4",97,,,524081,190677,digitised over OS MasterMap,3/30/16
FNA,"Carey Room Trinity Church Centre, 15 Nether Street Finchley N12 7NN ","98, 99",200157005,"Hall, Trinity Church, 15 Nether Street, London, N12 7NN",526192,192072,NLPG BLPU,3/30/16
FNB,"St Paul's Centre, 50 Long Lane, London N3 2PU","100, 101",200150901,"St Pauls Church, Long Lane, London",525678,190898,NLPG BLPU,3/30/16
FND,"Essex Hall, 5 Essex Park London N3 1ND","102, 103",200038493,"Essex Hall, 5 Essex Park, LONDON, N3 1ND",525724,191423,NLPG BLPU,3/30/16
HOA,"Fairway Primary School, The Fairway, Mill Hill, NW7 3HS",104,200159112,"Fairway Primary School and Children's Centre, The Fairway, LONDON, NW7 3HS",520783,193503,NLPG BLPU,3/30/16
HOB,"Courtland School, Courtland Avenue Mill Hill NW7 3BG",105,200027767,"Courtland School, Courtland Avenue, LONDON, NW7 3BG",521066,193508,NLPG BLPU,3/30/16
HOC,Deansbrook School Hale Drive NW7 3ED,"106, 107",200054548,"Deansbrook Junior School, Hale Drive, LONDON, NW7 3ED",520410,191927,NLPG BLPU,3/30/16
HOD ,Portable Office at Harvester Car Park Selvage Lane Edgware Middlesex HA8 9RZ,"108, 109",200220767,"128 Hale Lane, EDGWARE, HA8 9RZ",520537,192357,NLPG BLPU,3/30/16
HOE,The Royal British Legion New Edgware Branch Parnell Close HA8 8YE,110,200091813,"New Edgware Royal British Legion Club, Parnell Close, EDGWARE, HA8 8YE",519970,192958,NLPG BLPU,3/30/16
HOF,"The Annunciation Catholic Junior School, The Meads, Edgware, Middlesex HA8 9HQ",111,200116457,"The Annunciation Roman Catholic Junior School, The Meads, EDGWARE, HA8 9HQ",520699,191775,NLPG BLPU,3/30/16
HPA,"Etz Chaim Jewish School, 20 Daws Lane, Mill Hill NW7 4SL","112, 113",200030945,"14-20 Daws Lane, LONDON, NW7 4SL",521910,192165,NLPG BLPU,3/30/16
HPB,"St Paul’s Church Hall, The Ridgeway Mill Hill NW7 1QU",114,200157006,"St Pauls Church Hall, The Ridgeway, London",522497,192819,NLPG BLPU,3/30/16
HPC,"Portable Offices, Bittacy Road NW7 1BP","115, 116",,,523911,191502,digitised over OS MasterMap,3/30/16
HPD,Dollis Infants School Pursley Road Mill Hill NW7 2BU,"117, 118, 119",200095610,"Dollis Infant School, Pursley Road, LONDON, NW7 2BU",523025,191437,NLPG BLPU,3/30/16
HPE,"Mill Hill Library. Hartley Avenue, Mill Hill NW7 2HX",120,200057669,"Mill Hill Library, Hartley Avenue, LONDON, NW7 2HX",521740,192190,NLPG BLPU,3/30/16
HQA,"Sunnyfields School, Greyhound Hill, London NW4 4JH",121,200057880,"Sunnyfields Primary School, Hatchcroft, LONDON, NW4 4JH",522584,189522,NLPG BLPU,3/30/16
HQB,"St Mary & St John CE School, Bennett House, Sunningfield Road, Hendon NW4 4QR","122, 123",200110589,"St Marys Church Of England High School, Sunningfields Road, LONDON, NW4 4QR",522991,189570,NLPG BLPU,3/30/16
HQC,"Bell Lane School, Bell Lane Hendon NW4  2AS","124, 125",200219401,"Bell Lane Primary School and Childrens Centre, Bell Lane, LONDON, NW4 2AS",523659,189134,NLPG BLPU,3/30/16
HQD,"Hendon School Green Lane entrance, Hendon NW4 2HP ","126, 127",200049286,"Hendon School, Golders Rise, LONDON, NW4 2HP",523568,188932,NLPG BLPU,3/30/16
HRA,Barnet Multi- Cultural Community Centre Algernon Road Hendon NW4 3TA,"128, 129",200166018,"Barnet Multi Cultural Community Centre, Algernon Road, LONDON, NW4 3TA",522300,188162,NLPG BLPU,3/30/16
HRB,"Hasmonean Primary School, 8-10 Shirehall Lane Hendon NW4 2PD",130,200222373,"Hasmonean Primary School, 8-10 Shirehall Lane, LONDON, NW4 2PD",523684,188580,NLPG BLPU,3/30/16
HRC,"Parkfield Primary School, St David’s Place Park Road Hendon NW4 3PJ",131,200152522,"Parkfield Primary School, 17 St Davids Place, LONDON, NW4 3PJ",522574,187887,NLPG BLPU,3/30/16
HRD,West Hendon Community Centre Marsh Drive West Hendon NW9 7QE,"132, 133",200156706,"West Hendon Community Centre, Marsh Drive, LONDON, NW9 7QE",521764,188205,NLPG BLPU,3/30/16
HRE,The Hyde School Hyde Crescent/ Edgware Road Hendon NW9 7EY,134,200151622,"The Hyde Primary School and Childrens Centre, Hyde Crescent, LONDON, NW9 7EY",521503,188578,NLPG BLPU,3/30/16
HSA ,"BEST Hub, Lanacre Avenue, Colindale, London NW9 5FN","135, 136",200166605,"The Orion Primary School, Lanacre Avenue, London, NW9 5FN",521521,190528,NLPG BLPU,3/30/16
HSB,"Grahame Park Community Centre, The Concourse Grahame Park NW9 5UY",137,200114477,"Community Centre, The Concourse, LONDON, NW9 5UY",521662,190640,NLPG BLPU,3/30/16
HSC,"The Hyde United Reform Church Hall, Colin Close,  Colindale NW9 6RR","138, 139, 140",200152285,"The Hyde Church Hall, Colin Close, London",521263,189146,NLPG BLPU,3/30/16
HSD,"Estate Management Suite, 16 Heritage Avenue, Beaufort Park NW9 5EN",141,200140038,"16 Heritage Avenue, LONDON, NW9 5EN",521794,190011,NLPG BLPU,3/30/16
HTA ,"The Eversfield Centre, 11 Eversfield Gardens Mill Hill NW7 2AE","142, 143",200151015,"Trinity Church and Eversfield Centre, 11 Eversfield Gardens, LONDON, NW7 2AE",521174,191485,NLPG BLPU,3/30/16
HTB,"Our Lady of the Annunciation Church Hall, Cnr Thirleby Road and Gervase Road Burnt Oak HA8 0HQ","144, 145",200157007,"Hall, Church Of The Annunciation, Thirleby Road, Edgware, HA8 0HQ",520539,190712,NLPG BLPU,3/30/16
HTC,"Barnfield School Silkstream Road , Burnt Oak HA8 0DA","146, 147",200103656,"Barnfield Road School, Silkstream Road, EDGWARE, HA8 0DA",520332,190520,NLPG BLPU,3/30/16
HTD ,Watling Community Association 145 Orange Hill Road Edgware HA8 0TR,148,200089525,"145 Orange Hill Road, EDGWARE, HA8 0TR",520164,191430,NLPG BLPU,3/30/16
HUA,"Broadfields School, Roseberry Drive, Off Broadfields Avenue, Edgware, HA8 8JP","149, 150",200154397,"Broadfields Primary School, Roseberry Drive, EDGWARE, HA8 8JP",519584,193723,NLPG BLPU,3/30/16
HUB,Edgware Parish Hall Rectory Lane Station Road Edgware HA8 7LG,"151, 152, 153",200157008,"Edgware Parish Hall, Rectory Lane, EDGWARE, HA8 7LG",519406,192073,NLPG BLPU,3/30/16
HUC,"New Stonegrove Community Centre, 5 Hayling Way, Edgware HA8 8BN
","154, 155",10093299328,"Community Centre, 5 Hayling Way, EDGWARE, HA8 8BN",518645,192796,NLPG BLPU,3/30/16
