"Property_Number","Property_NAme","Post_Code","Polling_Place_Name","Polling_Place_Address_1","Polling_Place_Address_2","Polling_Place_Address_3","Polling_Place_Address_4","Polling_Place_Postcode"
"0","762/764","N12 9QG","15th Finchley Scout Group","104 Grove Road","North Finchley","London","","N12 9EA"
"0","832/834","N12 9RA","North Finchley Library","Ravensdale Avenue","North Finchley","London","","N12 9HP"
"0","91B","NW11 0NR","St Mary & Archangel","Michael Coptic Orthodox","Church Hall","Cranbourne Gardens","London","NW11 OHU"
"0","Abbey Arts Centre","EN4 9QX","Trent CE Primary School","Church Way","Off Chalk Lane","Cockfosters","Herts","EN4 9JH"
"0","Abbey Court","N3 3BG","Finchley Baptist Church Hall","Stanhope Avenue","Finchley","London","","N3 3QL"
"0","Abbeyfield House","NW11 6HL","Fellowship House","136A Willifield Way","London","","","NW11 6YD"
"0","Abbotsley Manor","EN5 3HW","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Abbotsview Court","NW7 4EQ","Etz Chaim Jewish Primary School","20 Daws Lane","Mill Hill","London","","NW7 4SL"
"0","Abington House","NW11 6QB","St Judes Church Hall","South Square","Hampstead Garden Suburb","London","","NW11 7AH"
"0","Acacias Lodge","EN4 8BH","New Barnet Community Centre","48/50 Victoria Road","New Barnet","Herts","","EN4 9PF"
"0","Acorn House","HA8 0EN","Our Lady of the Annunciation","4 Thirleby Road","Gervase Road","Burnt Oak","Edgware","HA8 0HQ"
"0","Acorns","EN5 3JN","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Acrefield House","NW4 2BL","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Adam and Eve","NW7 1RL","Dollis Infants School","Pursley Road","Mill Hill","London","","NW7 2BU"
"0","Adamson Court","N2 9BW","Finchley Youth Centre","142 High Road","East Finchley","London","","N2 9ED"
"0","Adelaide Cottage","NW11 6HP","Fellowship House","136A Willifield Way","London","","","NW11 6YD"
"0","Adelphi Court","N2 8HD","East Finchley Library","226 High Road","Finchley","London","","N2 9BB"
"0","Agar House","NW9 5HJ","Estate Management Suite","16 Heritage Avenue","Beaufort Park","London","","NW9 5EN"
"0","Agatha House","HA8 8LG","Broadfields School","Roseberry Drive","Off Broadfields Avenue","Edgware","Middx","HA8 8JP"
"0","Agua Clara House","N11 3EX","Scout and Guide Hall","Stanford Road","Friern Barnet","London","","N11 3HX"
"0","Ailantus Court","HA8 8AA","New Stonegrove Community Centre","5 Hayling Way/Green Lane","Edgware","","","HA8 8BN"
"0","Ajax Court","NW9 5EU","The Hyde United Reformed","Church Hall","Colin Close","Colindale","","NW9 6RR"
"0","Al Araf","N3 2QR","Avenue House","The Dining Room","East End Road","Finchley","","N3 3QE"
"0","Al-Murtaza","N2 0BE","Portable Office - At the Synagogue","At The Synagogue","Norrice Lea","Garden Suburb","London","N2 ORE"
"0","Alan Lodge","N3 1QH","Essex Hall","5 Essex Park","Finchley","London","","N3 1ND"
"0","Alba Court","NW11 9NP","St Mary & Archangel","Michael Coptic Orthodox","Church Hall","Cranbourne Gardens","London","NW11 OHU"
"0","Alban Court","EN5 2SA","St Stephens Church Hall","1 Spring Close","Bells Hill","Barnet","Herts","EN5 2UR"
"0","Albano","NW7 4HR","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Albany","N3 1SN","St Philip the Apostle","Parish Centre","Gravel Hill","Finchley","","N3 3RJ"
"0","Albany Court","HA8 0HY","The Eversfield Centre","11 Eversfield Gardens","Mill Hill","London","","NW7 2AE"
"0","Albany court","N12 8NN","Carey Room","Trinity Church Centre","15 Nether Street","Finchley","","N12 7NN"
"0","Alcina","NW7 4NS","Etz Chaim Jewish Primary School","20 Daws Lane","Mill Hill","London","","NW7 4SL"
"0","Aldwick Court","N12 8BB","Finchley Catholic High School","Woodside Lane","Finchley","London","","N12 8TA"
"0","Alexander Court","N2 8AD","Finchley Youth Centre","142 High Road","East Finchley","London","","N2 9ED"
"0","Alexandra House","N3 1DP","St Philip the Apostle","Parish Centre","Gravel Hill","Finchley","","N3 3RJ"
"0","Alfred House","N2 0TU","Portable Office - At the Synagogue","At The Synagogue","Norrice Lea","Garden Suburb","London","N2 ORE"
"0","Alfriston","NW11 8QY","Harris Room - Trinity Church","Rodborough Road","Childs Hill","London","","NW11 8NH"
"0","Alison Court","HA8 8PQ","Edgware Parish Church Hall","Rectory Lane","Edgware","","","HA8 7LG"
"0","Allendale","EN5 2AG","St Stephens Church Hall","1 Spring Close","Bells Hill","Barnet","Herts","EN5 2UR"
"0","Allington Road Bungalow","NW4 3DP","Barnet Multicultural Community Centre","Algernon Road","Hendon","London","","NW4 3TA"
"0","Alma Close","N10 2NE","Freehold Community Centre","9 Alexandra Road","Muswell Hill","London","","N10 2EY"
"0","Alona House","EN5 5NU","St Marks Church Hall","Potters Road","New Barnet","Herts","","EN5 5HY"
"0","Alpenruh","N12 7DJ","Finchley Catholic High School","Woodside Lane","Finchley","London","","N12 8TA"
"0","Alston Court","EN5 4LJ","Chipping Barnet Library","The Hyde Room","3 Stapylton Road","Barnet","Herts","EN5 4QT"
"0","Alston Works","EN5 4EL","Chipping Barnet Library","The Hyde Room","3 Stapylton Road","Barnet","Herts","EN5 4QT"
"0","Alvetham","NW7 4ET","Etz Chaim Jewish Primary School","20 Daws Lane","Mill Hill","London","","NW7 4SL"
"0","Ambassador Court","NW4 2EE","Hendon School","Green Lane entrance","Hendon","London","","NW4 2HP"
"0","Amber Court","NW9 5ET","The Hyde United Reformed","Church Hall","Colin Close","Colindale","","NW9 6RR"
"0","Amberden House","EN5 3HA","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Amberley","N20 8PE","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Amberley","NW7 4ET","Etz Chaim Jewish Primary School","20 Daws Lane","Mill Hill","London","","NW7 4SL"
"0","Amberley House","EN5 5EG","St Marks Church Hall","Potters Road","New Barnet","Herts","","EN5 5HY"
"0","Ambleside","N3 2QD","St Paul`s Centre","50 Long Lane","Finchley","London","","N3 2PU"
"0","Ambleside","NW7 4HS","The Pavilion","Brickfield Lane","Barnet","Herts","","EN5 3LD"
"0","Anderson Court","NW2 1TJ","Claremont Primary School","Claremont Road","Cricklewood","London","","NW2 1AB"
"0","Andover House","N12 7PJ","Carey Room","Trinity Church Centre","15 Nether Street","Finchley","","N12 7NN"
"0","Angel Cottages","NW7 1RD","Dollis Infants School","Pursley Road","Mill Hill","London","","NW7 2BU"
"0","Anin","NW7 1AJ","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","Anjalee House","EN5 3JT","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Anlaby","NW2 2NY","St Agnes Centre","Corner of Gillingham Road","Cricklewood","London","","NW2 IHR"
"0","Apex Court","NW7 3JU","Mill Hill Library","Hartley Avenue","Mill Hill","London","","NW7 2HX"
"0","Aplha House","N2 8BD","Finchley Youth Centre","142 High Road","East Finchley","London","","N2 9ED"
"0","Applegarth","EN5 2LD","Hope Corner Community Centre","185 Mays Lane","Barnet","Herts","","EN5 2DY"
"0","Appletree Court","HA8 0AX","Barnfield School","Silkstream Road","Burnt Oak","Middlesex","","HA8 0DA"
"0","Apthorp Lodge","N11 1EQ","Brunswick Park Primary School","Osidge Lane","Southgate","London","","N14 5DU"
"0","Arcade House","NW11 7TL","Fellowship House","136A Willifield Way","London","","","NW11 6YD"
"0","Arden Cottages","N3 2TA","Avenue House","The Dining Room","East End Road","Finchley","","N3 3QE"
"0","Arden Grange","N12 8XA","North Finchley Library","Ravensdale Avenue","North Finchley","London","","N12 9HP"
"0","Arkley Farm House","EN5 3HY","The Pavilion","Brickfield Lane","Barnet","Herts","","EN5 3LD"
"0","Arkley Lodge","EN5 3HA","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Arkley Manor","EN5 3HS","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Arkley Manor Farm","EN5 3HS","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Arkley Mansions","N12 8DX","Carey Room","Trinity Church Centre","15 Nether Street","Finchley","","N12 7NN"
"0","Arkley Nursing Home","EN5 3LJ","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Arkley Park","EN5 3JH","The Pavilion","Brickfield Lane","Barnet","Herts","","EN5 3LD"
"0","Arkley Park","EN5 3JQ","The Pavilion","Brickfield Lane","Barnet","Herts","","EN5 3LD"
"0","Arkley Riding Stables","EN5 3DT","St Stephens Church Hall","1 Spring Close","Bells Hill","Barnet","Herts","EN5 2UR"
"0","Arkley Rise Cottage","EN5 3LL","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Arrandene Cottage","NW7 2RB","Dollis Infants School","Pursley Road","Mill Hill","London","","NW7 2BU"
"0","Arthur House","N20 8AP","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Arundel","EN4 8UU","Brookside Methodist Church","Cat Hill","Barnet","Herts","","EN4 8JB"
"0","Arundel","EN5 5JQ","St Marks Church Hall","Potters Road","New Barnet","Herts","","EN5 5HY"
"0","Arundel Court","N12 9NG","15th Finchley Scout Group","104 Grove Road","North Finchley","London","","N12 9EA"
"0","Arundel Lodge","N3 3AL","Chalgrove School","Chalgrove Gardens","Finchley","London","","N3 3PL"
"0","Ascot","NW4 2LA","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Ash Cottage","NW7 4HB","Etz Chaim Jewish Primary School","20 Daws Lane","Mill Hill","London","","NW7 4SL"
"0","Ashbourne Court","N12 8SA","Finchley Catholic High School","Woodside Lane","Finchley","London","","N12 8TA"
"0","Ashbourne Court","N12 8SB","Finchley Catholic High School","Woodside Lane","Finchley","London","","N12 8TA"
"0","Ashbourne House","NW11 0AG","St Mary & Archangel","Michael Coptic Orthodox","Church Hall","Cranbourne Gardens","London","NW11 OHU"
"0","Ashbourne Mansions","NW11 0AB","Fellowship House","136A Willifield Way","London","","","NW11 6YD"
"0","Ashburnham Court","NW7 4SH","Etz Chaim Jewish Primary School","20 Daws Lane","Mill Hill","London","","NW7 4SL"
"0","Ashcroft Court","N20 9ES","St Mary Magdalens Parish Centre","6 Athenaeum Road","Whetstone","London","","N20 9AE"
"0","Ashes Lodge","N2 0TG","Bishop Douglass RC High School","Hamilton Road","East Finchley","London","","N2 0SQ"
"0","Ashfield Cottage","NW7 1AY","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","Ashford","EN5 3HB","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Ashford Court","HA8 8UD","The Royal British Legion Edgware Branch","Parnell Close","Edgware","Middx","","HA8 8YE"
"0","Ashiana","NW4 2LA","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Ashleigh","N20 8AP","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Ashley Court","EN5 1RQ","Lyonsdown Main Hall","3 Lyonsdown Road","New Barnet","Herts","","EN5 1JB"
"0","Ashley Court","NW4 1PD","Portable Office - Hendon Crem","Entrance To Hendon Crem","Holders Hill Road","Hendon","","NW4"
"0","Ashley Lodge","EN5 3EP","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Ashley Pines","EN5 2AA","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Ashling","EN5 2NJ","Hope Corner Community Centre","185 Mays Lane","Barnet","Herts","","EN5 2DY"
"0","Ashwood House","NW4 2BD","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Auguste Cottage","NW7 4DD","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","Austell Heights","NW7 4PG","Etz Chaim Jewish Primary School","20 Daws Lane","Mill Hill","London","","NW7 4SL"
"0","Austell House","NW7 4NS","Etz Chaim Jewish Primary School","20 Daws Lane","Mill Hill","London","","NW7 4SL"
"0","Autumn Leaves","EN5 5NU","St Marks Church Hall","Potters Road","New Barnet","Herts","","EN5 5HY"
"0","Avalon","EN4 8TP","Danegrove Primary School","Windsor Drive","East Barnet","Herts","","EN4 8UD"
"0","Avalon","EN5 3HT","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Avebury Cottage","EN5 3JW","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Avenue Cottages","NW7 1QY","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","Avenue Court","NW2 2PT","St Agnes Centre","Corner of Gillingham Road","Cricklewood","London","","NW2 IHR"
"0","Avenue Mansions","EN5 2EL","Underhill Baptist Church","Elton Avenue","Barnet","Herts","","EN5 2EA"
"0","Avenue Villas","EN5 4ES","Chipping Barnet Library","The Hyde Room","3 Stapylton Road","Barnet","Herts","EN5 4QT"
"0","Avon Court","N12 8HR","Carey Room","Trinity Church Centre","15 Nether Street","Finchley","","N12 7NN"
"0","Aynho","EN5 5QE","Hadley Memorial Hall","29 Hadley Highstone","Barnet","Herts","","EN5 4PU"
"0","Azalea","NW4 1TH","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Backland","N12 8BU","Carey Room","Trinity Church Centre","15 Nether Street","Finchley","","N12 7NN"
"0","Bakers Hill","EN5 5QL","St Marks Church Hall","Potters Road","New Barnet","Herts","","EN5 5HY"
"0","Balfour Court","N20 0SL","Manor Drive Methodist Church Hall","Manor Drive","Whetstone","London","","N20 0DZ"
"0","Ballantrae House","NW2 2PB","St Agnes Centre","Corner of Gillingham Road","Cricklewood","London","","NW2 IHR"
"0","Bank House, 1","HA8 0LQ","Barnfield School","Silkstream Road","Burnt Oak","Middlesex","","HA8 0DA"
"0","Bank Mansions","NW11 8LG","Harris Room - Trinity Church","Rodborough Road","Childs Hill","London","","NW11 8NH"
"0","Baraka","NW4 2LA","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Barbridge","EN5 3HD","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Barford","EN5 4PP","Hadley Memorial Hall","29 Hadley Highstone","Barnet","Herts","","EN5 4PU"
"0","Barham Court","N12 7BT","Portable Office -","Bittacy Road","London","","","NW7 1BP"
"0","Baring Court","EN4 9AL","New Bevan Baptist Church","Grove Road","Barnet","Herts","","EN4 9DF"
"0","Barley Edge","EN5 3LN","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Barnard Lodge","EN5 5JP","St Marks Church Hall","Potters Road","New Barnet","Herts","","EN5 5HY"
"0","Barnet House","N20 8AS","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Barnett Homestead","NW11 6HS","Fellowship House","136A Willifield Way","London","","","NW11 6YD"
"0","Barons Court","N2 0BE","Portable Office - At the Synagogue","At The Synagogue","Norrice Lea","Garden Suburb","London","N2 ORE"
"0","Barons House","EN4 8SU","New Barnet Community Centre","48/50 Victoria Road","New Barnet","Herts","","EN4 9PF"
"0","Barrington","N20 9JD","St Mary Magdalens Parish Centre","6 Athenaeum Road","Whetstone","London","","N20 9AE"
"0","Barrydene","N20 9HG","St Mary Magdalens Parish Centre","6 Athenaeum Road","Whetstone","London","","N20 9AE"
"0","Barrymore","N12 0JL","Our Lady of Lourdes RC Primary School","Bow Lane","Finchley","London","","N12 0JP"
"0","Barrymore","N3 1TL","St Philip the Apostle","Parish Centre","Gravel Hill","Finchley","","N3 3RJ"
"0","Bartletts Cottages","EN5 4LL","Chipping Barnet Library","The Hyde Room","3 Stapylton Road","Barnet","Herts","EN5 4QT"
"0","Barton House","N3 1LH","Essex Hall","5 Essex Park","Finchley","London","","N3 1ND"
"0","Basement R/o Book Shop","N3 2DN","St Paul`s Centre","50 Long Lane","Finchley","London","","N3 2PU"
"0","Baskets Lot","EN5 4QD","Hadley Memorial Hall","29 Hadley Highstone","Barnet","Herts","","EN5 4PU"
"0","Battlehouse Mews","EN4 8RR","St Marks Church Hall","Potters Road","New Barnet","Herts","","EN5 5HY"
"0","Baveno","N3 1BE","St Philip the Apostle","Parish Centre","Gravel Hill","Finchley","","N3 3RJ"
"0","Bay House","N11 1EQ","Brunswick Park Primary School","Osidge Lane","Southgate","London","","N14 5DU"
"0","Bays Court","HA8 9QS","Edgware Parish Church Hall","Rectory Lane","Edgware","","","HA8 7LG"
"0","Baytree Villa","NW7 4HS","The Pavilion","Brickfield Lane","Barnet","Herts","","EN5 3LD"
"0","Beaconsfield Cottages","N20 8PD","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Beaconsfield Court","N11 3AF","Scout and Guide Hall","Stanford Road","Friern Barnet","London","","N11 3HX"
"0","Bear Lodge","EN4 8SD","New Barnet Community Centre","48/50 Victoria Road","New Barnet","Herts","","EN4 9PF"
"0","Beatrice Court","N20 8PY","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Beauchamp","EN5 5JQ","St Marks Church Hall","Potters Road","New Barnet","Herts","","EN5 5HY"
"0","Beaufort Court","EN5 1RW","Lyonsdown Main Hall","3 Lyonsdown Road","New Barnet","Herts","","EN5 1JB"
"0","Beaufort House","NW11 6PU","St Judes Church Hall","South Square","Hampstead Garden Suburb","London","","NW11 7AH"
"0","Beaumont Place","EN5 4PR","Hadley Memorial Hall","29 Hadley Highstone","Barnet","Herts","","EN5 4PU"
"0","Beddan Court","HA8 7NZ","Edgware Parish Church Hall","Rectory Lane","Edgware","","","HA8 7LG"
"0","Bedegars Lea","NW3 7JL","Portable Office - At the Synagogue","At The Synagogue","Norrice Lea","Garden Suburb","London","N2 ORE"
"0","Bedford Mansions","EN5 2EN","Underhill Baptist Church","Elton Avenue","Barnet","Herts","","EN5 2EA"
"0","Beech Court","NW2 2LR","All Saints CE School","Childs Hill","Cricklewood Lane","London","","NW2 2TH"
"0","Beech Lawns","N12 9PP","North Finchley Library","Ravensdale Avenue","North Finchley","London","","N12 9HP"
"0","Beechcroft Court","N12 8TL","Finchley Catholic High School","Woodside Lane","Finchley","London","","N12 8TA"
"0","Beechcroft Court","NW11 8BP","Harris Room - Trinity Church","Rodborough Road","Childs Hill","London","","NW11 8NH"
"0","Beeches Lodge","N20 8QZ","Totteridge Tennis Club","Great Bushey Drive","Totteridge","London","","N20 8QL"
"0","Beecholme","N12 8RF","Finchley Catholic High School","Woodside Lane","Finchley","London","","N12 8TA"
"0","Beechtree Cottage","NW7 1RP","Portable Office -","Bittacy Road","London","","","NW7 1BP"
"0","Beechwood Hall","N3 3AT","Finchley Baptist Church Hall","Stanhope Avenue","Finchley","London","","N3 3QL"
"0","Belfry House","NW4 1PX","Dollis Infants School","Pursley Road","Mill Hill","London","","NW7 2BU"
"0","Bell Cottage","EN5 3LE","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Bell Court","NW4 2BT","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Bell Lane School","NW4 2AS","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Bellahoy","EN5 4ED","Q.E. Boys School","Queens Road","Barnet","Herts","","EN5 4DQ"
"0","Belleville","EN5 3ET","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Bellevue Court","EN4 9QL","New Bevan Baptist Church","Grove Road","Barnet","Herts","","EN4 9DF"
"0","Bellingdon","NW11 8QY","Harris Room - Trinity Church","Rodborough Road","Childs Hill","London","","NW11 8NH"
"0","Belmont Court","N20 0QZ","St Johns Church Hall","Friern Barnet Lane","Whetstone","London","","N20 OLP"
"0","Belmont Court","NW11 6XS","Fellowship House","136A Willifield Way","London","","","NW11 6YD"
"0","Belmont Farm","NW7 1QT","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","Belmont Lodge","NW7 4ED","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","Belmont Mill Hill Preparatory School","NW7 4ED","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","Belmont Racing Stables","NW7 1EQ","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","Belmont School","NW7 4ED","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","Belvedere Court","N2 0AG","Portable Office - The Green","Widecombe Way / Vivian Way","Finchley","London","","N2"
"0","Belvedere Court","N2 0AH","Portable Office - The Green","Widecombe Way / Vivian Way","Finchley","London","","N2"
"0","Belvin","N3 1SN","St Philip the Apostle","Parish Centre","Gravel Hill","Finchley","","N3 3RJ"
"0","Benash House","EN5 3JT","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Berbell","NW7 4HS","The Pavilion","Brickfield Lane","Barnet","Herts","","EN5 3LD"
"0","Berkeley Court","N3 2QE","St Paul`s Centre","50 Long Lane","Finchley","London","","N3 2PU"
"0","Berry Cottage","NW7 2RT","Dollis Infants School","Pursley Road","Mill Hill","London","","NW7 2BU"
"0","Berwick House","N2 8ND","The Green Man Community Centre","Strawberry Vale","Finchley","London","","N2 9BA"
"0","Besant Close","NW2 2SJ","St Agnes Centre","Corner of Gillingham Road","Cricklewood","London","","NW2 IHR"
"0","Bethany Lodge","EN5 5NU","St Marks Church Hall","Potters Road","New Barnet","Herts","","EN5 5HY"
"0","Betstyle House","N10 1AT","St Peter Le Poer Church Hall","Albion Avenue","Muswell Hill","London","","N10 1AQ"
"0","Beverley House","EN5 2TH","Hope Corner Community Centre","185 Mays Lane","Barnet","Herts","","EN5 2DY"
"0","Bibsworth Lodge","N3 3RN","St Philip the Apostle","Parish Centre","Gravel Hill","Finchley","","N3 3RJ"
"0","Bieldside","NW7 4NS","Etz Chaim Jewish Primary School","20 Daws Lane","Mill Hill","London","","NW7 4SL"
"0","Bigwood Court","NW11 6SS","St Judes Church Hall","South Square","Hampstead Garden Suburb","London","","NW11 7AH"
"0","Birch Wood","EN5 3JZ","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Birchglade","EN5 3HA","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Birchwood","N20 8AP","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Bishop`s Court","N2 0NP","Portable Office - The Green","Widecombe Way / Vivian Way","Finchley","London","","N2"
"0","Bishops Corner","N2 0BB","Portable Office - At the Synagogue","At The Synagogue","Norrice Lea","Garden Suburb","London","N2 ORE"
"0","Bishops Croft","N20 8PU","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Bittacy Cottage","NW7 1RL","Dollis Infants School","Pursley Road","Mill Hill","London","","NW7 2BU"
"0","Bittacy Court","NW7 1HX","Portable Office -","Bittacy Road","London","","","NW7 1BP"
"0","Bittacy Court","NW7 1HY","Portable Office -","Bittacy Road","London","","","NW7 1BP"
"0","Blackford Lodge","HA8 8RA","Broadfields School","Roseberry Drive","Off Broadfields Avenue","Edgware","Middx","HA8 8JP"
"0","Blandford House","N2 0DH","Portable Office - The Green","Widecombe Way / Vivian Way","Finchley","London","","N2"
"0","Blandings","NW7 4EU","Etz Chaim Jewish Primary School","20 Daws Lane","Mill Hill","London","","NW7 4SL"
"0","BLENHEIM","NW9 5NH","Grahame Park Community Centre","The Concourse","Grahame Park","London","","NW9 5UY"
"0","Blenheim Court","NW4 1DH","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Blenheim Lodge","EN5 5HL","St Marks Church Hall","Potters Road","New Barnet","Herts","","EN5 5HY"
"0","Blenheim Steps","NW7 1QY","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","Blissland Court","N12 0HA","Our Lady of Lourdes RC Primary School","Bow Lane","Finchley","London","","N12 0JP"
"0","Blue Hills","EN5 3HX","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
