ADDRESSL1,ADDRESSL2,ADDRESSL3,WARD,PDREF,STATNO,ELECTORATE,INFO,EAST,NORTH
Mount Wise Neighbourhood Centre,Clowance Street,Devonport,Devonport,AE,52,0,,245497.135,54204.232
Mutley Baptist Church,Mutley Plain,,Compton,LE,67,0,Two stations at this address,248366.279,55631.349
North Prospect Branch Library,Greatlands Place,,Ham,BE,5,0,,246242.545,56476.192
Pennycross Methodist Church Hall,Pridham Lane,,Peverell,KD,61,0,Two stations at this address,247473.07,57209.432
Pennycross Primary School,Arden Grove,,Ham,BG,7,0,,247151.168,57570.519
Peverell Methodist Church Hall,Westbourne Road,,Peverell,KA,58,0,Two stations at this address,247950.488,56355.574
Pilgrim Church Hall,St Levan Road,,Stoke,JD,56,0,Two stations at this address,246283.5,56220.497
Pilgrim Primary School,Oxford Street,,St Peter & The Waterfront,NH,79,0,,247477.799,54921.059
Plaistow Hill Infants School,Roman Way,,St Budeaux,CD,12,0,,245401.701,58856.072
Plympton Fire Station - Conference Room,Glen Road,Plympton,Plympton St Mary,RE,102,0,Two stations at this address,254271.333,56664.817
Plymstock Sports Pavilion,Dean Cross Road,,Plymstock Radford,TD,111,0,Two stations at this address,251233.121,53359.855
Polzeath Gardens,Mobile Polling Unit,,Ham,BH,8,0,,247733.355,57819.572
Pomphlett Methodist Church Hall,Pomphlett Road,,Plymstock Radford,TE,112,0,,250766.714,53737.205
Prince Rock Primary School,Embankment Road,,Sutton & Mount Gould,OF,85,0,,249625.625,54527.942
Salisbury Road Baptist Church Hall,Rosebery Road entrance,,Sutton & Mount Gould,OC,82,0,,249327.247,55070.252
Salisbury Road Primary School,Salisbury Road,,Sutton & Mount Gould,OB,81,0,,249070.548,54965.002
Salvation Army Hall,Balfour Terrace,,Devonport,AB,49,0,Two stations at this address,245413.228,55665.317
Sherwell United Reformed Church Hall,North Hill,,Drake,MB,69,0,,248129.296,55057.76
Southway Youth & Community Centre,Hendwell Close,,Southway,FC,32,0,,248318.877,60794.718
St Aidans Church Hall,West Malling Avenue,,Honicknowle,DF,20,0,,245402.532,60120.374
St Andrews C/E Primary School,Citadel Road,,St Peter & The Waterfront,NC,74,0,,247260.951,54158.978
St Annes Hall,Glenholt Road,,Moor View,GE,41,0,Two stations at this address,250386.054,60686.065
St Barnabas Church,St Barnabas Terrace,,Stoke,JA,53,0,Two stations at this address,246964.799,55254.769
St Boniface Church Hall,Percy Street,,St Budeaux,CC,11,0,Two stations at this address,244714.82,58215.04
St Edwards Church Hall,Home Park Avenue,,Peverell,KB,59,0,Two stations at this address,248124.309,56514.713
St Edwards Primary School,Fort Austin Avenue,,Eggbuckland,HF,47,0,Two stations at this address,250263.323,58008.391
St Johns Ambulance Training Centre,Crownhill Fort Road,,Budshead,EE,26,0,,248626.081,58992.377
St Judes Church Hall,Beaumont Road,,St Peter & The Waterfront,NA,72,0,,248837.526,54733.521
St Marks Church,Cambridge Road,,Stoke,JE,57,0,,245905.956,56330.186
St Mary CE Infants School,Plympton,,Plympton Erle,SA,103,0,,253640.257,56331.192
St Matthews Church,Sherford Road,,Plymstock Dunstone,UF,118,0,,253375.798,53147.663
St Matthias Parish Church Hall,Bedford Park/Clifton Place,,Drake,MC,70,0,,248323.616,55321.826
St Pauls Church,Durnford Street,,St Peter & The Waterfront,ND,75,0,,246403.897,53754.881
St Pauls Church Hall,Barne Lane,off Pemros Road,St Budeaux,CF,14,0,Two stations at this address,244589.723,58329.597
St Pauls Community Church,Efford Lane,,Efford & Lipson,PG,94,0,Two stations at this address,250095.321,56229.754
St Peters Lutheran Church,Larkham Lane,,Plympton St Mary,RB,99,0,,252925.007,56762.644
St Peters R/C Primary School,Brentford Avenue,,Budshead,EB,23,0,,246951.712,60097.178
Stoke Damerel Primary School,South Hill,Stoke,Stoke,JB,54,0,,246119.095,55252.489
Stoke Methodist Church,Belmont Place,,Stoke,JC,55,0,,246015.909,55526.082
Table Tennis League HQ,Desborough Lane,,Sutton & Mount Gould,OE,84,0,,249189.415,54664.161
Tamar View Community & Resource Centre,Miers Close,,St Budeaux,CA,9,0,,244243.228,57705.514
Tewkesbury Close,Mobile Polling Unit,,Ham,BD,4,0,,246105.404,57616.19
The Barn,Kit Hill Crescent,,St Budeaux,CB,10,0,,244464.644,57927.879
The Burgess Hall Unitarian Church,Princess Street,,St Peter & The Waterfront,NB,73,0,Two stations at this address,247865.445,54280.29
The Function Room Staddiscombe Club,Staddiscombe Road,,Plymstock Dunstone,UB,114,0,,251961.079,51664.485
The Grace Christian Centre,Gordon Terrace,,Drake,MA,68,0,,248034.364,55519.074
The Rees Youth & Community Centre,Mudge Way,,Plympton Erle,SC,105,0,,254234.076,56078.171
The Salvation Army Community Hall,Lancaster Gardens,,Budshead,ED,25,0,,247825.581,59661.4
The Village Hall,Miles Mitchell Avenue,,Eggbuckland,HD,45,0,Two stations at this address,249392.774,58166.11
Thornbury Primary School,Miller Way,,Moor View,GD,40,0,Two stations at this address,250754.108,59594.258
Tothill Community Centre,Knighton Road,,Sutton & Mount Gould,OD,83,0,,249403.779,54778.158
Tresillian Street Centre,3 Tresillian Street,,Sutton & Mount Gould,OG,86,0,,249252.271,54147.459
Trinity United Reformed Church Hall,Torr Lane,,Peverell,KE,62,0,,248417.182,57115.781
West Park Library,Crownhill Road,,Honicknowle,DA,15,0,,246165.1,59210.218
Weston Mill Oak Villa,Ferndale Road,,Ham,BB,2,0,,245459.725,57388.046
Weston Mill Primary School,Wolseley Road,,Ham,BA,1,0,,245312.538,57383.51
Widewell Primary School,Lulworth Drive,,Southway,FE,34,0,,249804.584,61285.116
Woodford Methodist Community Church,Greenway Avenue,,Plympton St Mary,RA,98,0,Two stations at this address,252678.983,56957.093
Yealmpstone Farm Primary School,Meadowfield Place,,Plympton Erle,SE,107,0,Two stations at this address,255570.725,55400.059
