StationCode,PollingStation,lat,lng
PA7,"St. Joseph&rsquo;s R.C. Primary School, Commerell Street SE10 9AN",51.4869563,0.006676217
PA8,"Portacabin, next to 54 Armitage Road SE10 0HG",51.4882422,0.009829631
PL1,"Conway Primary School, Gallosson Road SE18 1QY",51.48734546,0.088912623
PL2,"Bannockburn School, Plumstead High Street SE18 1HE",51.48719012,0.094595208
PL3,"St. Nicholas Social Centre, St. Nicholas Road SE18 1HJ",51.48727478,0.100418427
PL4,"Willow Dene School (Former St Paul's School), Oakmere Road, SE2 0XX",51.4796874,0.10378548
PL5,"Rockliffe Manor School, Bassant Road SE18 2NP",51.47819565,0.094183074
SH1,"Shrewsbury House Community Centre, Bushmoor Crescent SE18 3EG",51.473456,0.072956505
SH2,"Portacabin next to 1A Donaldson Road, Shooters Hill SE18 3JX",51.47000294,0.063771924
SH3,"St. Joseph&rsquo;s RC Church Hall, Paget Rise SE18 3QQ",51.47704554,0.064723464
SH4,"Plumcroft Primary School, Nithdale Road SE18 3PE",51.47804373,0.074403039
SH5,"Slade Hall, Pendrell Street SE18 3PJ",51.47878136,0.08503608
SH6,"Timbercroft Primary School - Nursery Entrance, Foundation Stage, Timbercroft Lane SE18 2SG",51.47716671,0.090362851
SH7,"Willow Dene School, Swingate Lane SE18 2JD",51.47295867,0.090832858
TM1,"Heronsgate Primary School Youth Club Room (Thamesmead), 1c osander Way, Thamesmead, SE28 0DW",51.49286438,0.083503349
TM2,"Discovery Children&rsquo;s Centre, Battery Road SE28 0JN",51.50076817,0.095160137
TM3,"St. Margaret Clitherow School, Cole Close SE28 8GB",51.50107264,0.113271394
TM4,"Windrush Primary School, Bentham Road SE28 8AR",51.50284235,0.115370569
TM5,"Bishop John Robinson School, Hoveton Road, SE28 8LW",51.50827753,0.118663047
TM6,"Titmus Avenue Baptist Church, 85 Titmuss Avenue SE28 8DJ",51.50636886,0.114798983
TM7,"Woolwich Polytechnic College, Hutchins Road SE28 8AT",51.50358293,0.10870446
WC1,"St. Peter&rsquo;s Community Centre, 107 Woolwich New Road SE18 6EF",51.48803988,0.066473337
WC2,"Nightingale Primary School, Sandy Hill Road Entrance, Bloomfield Road SE18 7JJ",51.48299389,0.070609277
WC3,"Woolwich Common Community Centre, 16 Leslie Smith Square SE18 4DW",51.48034964,0.062467555
WC4,"Eglinton Primary School, Paget Rise SE18 3PY",51.47846757,0.063635571
WC5,"The Barnfield Project, Oak House, Barnfield Road SE18 3UH",51.48059974,0.071235338
WC6,"Plumcroft Primary School, Genesta Road SE18 3EU",51.4783583,0.074921363
WR1,"Boyle House, 1 Gallon Close SE7 8SY",51.48831716,0.034680657
WR2,"YMCA Thames Gateway (Greenwich), Antelope Road, Woolwich, SE18 5QG",51.4936139,0.052736978
WR3,"Woolwich Adventure Play Centre, Pett Street SE18 5NZ",51.49208066,0.048879393
WR4,"New Charlton Community Centre, 217 Maryon Road SE7 8DB",51.48924162,0.047181977
WR5,"Woolwich Evangelical Church, between 131 & 143 Woodhill SE18 5HW",51.48865681,0.050800154
WR6,"Cardwell Primary School, Frances Street SE18 5LP",51.49085293,0.053261189
WR7,"St. Mary Magdalene School, Kingsman Street SE18 5PW",51.49118951,0.06124253
WR8,"The Woolwich Centre, 35 Wellington Street SE18 6HQ",51.48927247,0.065419899
WR9,"Berkeley Gallery, Greenwich Heritage Centre, Artillery Square SE18 4DX",51.49431005,0.069407703
