ps_polling_area,postaladdressline1,postaladdressline2,postaladdressline3,postaladdressline4,postaladdressline5,postcode,uprn,easting,northing
TD,St Matthews Nursery School,Junction of Maitland Street and Cuttle Street,Preston,Lancashire,,PR1 5XB,10090425988,355563,429987
U,All Saints Church Hall,Elizabeth Street,Preston,,,PR1 2RX,200001867487,353884,429877
UA,Harris Library Museum and Art Gallery,Education Room,Harris Street,Preston,Lancashire,PR1 2PP,100010577675,354059,429423
UB,St Augustines Catholic Primary School,St Austins Place,Preston,Lancashire,,PR1 3YJ,10007611855,354411,429040
UC,St Augustines Catholic Primary School,St Austins Place,Preston,Lancashire,,PR1 3YJ,10007611855,354411,429040
UD,Frenchwood County Primary School,Frenchwood Knoll,Preston,Lancashire,,PR1 4LE,100012746767,354642,428822
UE,Christ The King Catholic Maths and Computing College,Lawrence Avenue,Preston,Lancashire,,PR1 4LX,100012746611,354705,428561
V,St Cuthberts Church Centre,Lytham Road,Preston,,,PR2 3AR,10007607892,352729,431358
VA,Sports Hall at Roebuck School,Parker Street,Preston,Lancashire,,PR2 2AH,10090425939,352552,430607
VB,Sports Hall at Roebuck School,Parker Street,Preston,Lancashire,,PR2 2AH,10090425939,352552,430607
W,Plungington Community Centre,Brook Street,Preston,Lancashire,,PR1 7NB,100012747862,353150,430526
WA,St Walburges Parish Centre,Weston Street,Preston,Lancashire,,PR2 2QE,10007614279,352906,429894
