Reference,District(s),Polling Place
W30,"WWB, WFM","Eridge Village Hall, Eridge Green"
W31,WWC,"Large Hall, Frant Memorial Hall, The Green"
W32,WFN,"St Mark's Church, Tunbridge Wells Road"
W33,WFI,"Blackham Village Hall, Blackham"
W34,WFJ,"New Hall, Groombridge Village Hall, Station Road"
W35,WFK,"St John's CE School, School Lane"
W36,WFL,"Kings Hall, Withyham"
W37,WHA,"Hailsham Civic Community Hall, Vicarage Lane"
W38,WHB,"Emmanuel Church, Hawkswood Road"
W39,WHC1,"Hailsham East Community Centre, Vega Close"
W40,WHC2,"Lion House Park Social Club, Lion House Park, Mill Road"
W41,WHD,"Hailsham Free Church Hall, Western Road"
W42,WHD,"Hailsham Free Church Hall, Western Road"
W43,WHE,"Summerheath Hall, Summerheath Road"
W44,WFF,"Vicarage Room, Holy Trinity Church"
W45,WFH,"Hartfield Village Hall, Hartfield"
W46,WFG,"Fairwarp Village Hall, Nursery Lane, Fairwarp"
W47,WXJ,"Dicker Village Hall, Coldharbour Road"
W48,WXL,"Union Corner Hall, Hawks Road"
W49,WXK,"Hellingly Village Hall, North Street"
W50,WMF,"Horam Village Hall, Eastbourne Road, Horam"
W51,WWD,"Mayfield Memorial Hall, King George V Playing Field"
W52,WWE,"Rotherfield Village Hall, North Street"
W53,WUA,"Weald Hall, Uckfield Civic Centre, Bell Farm Lane"
W54,WUB,"Foresters Hall, Harcourt Road"
W55,WUC,"Mobile Classroom at Front of School, Manor Primary School, Downsview Crescent"
W56,WUD,"Weald Hall, Uckfield Civic Centre, Bell Farm Lane"
W57,WMG,"Ridgewood Village Hall, New Road"
W58,WWF,"Mayfield Memorial Hall, King George V Playing Field"
W59,WWG,"St Mark's Church, Tunbridge Wells Road"
W60,WWH,"Pavilion, Sparrows Green Recreation Ground, South View Road"
W60,WWH,"Pavilion, Sparrows Green Recreation Ground, South View Road"
