Reference,District(s),Ballot Boxes,Polling Place,Easting or X co-ord.,Northing or Y co-ord.,
97,OPGE,1,"The Orchard Centre, 210 Orchard Park Road",507200,433615,
98,OPGF,1,"Greenwood Avenue Library, 220 Greenwood Avenue",507312,433017,
99,OPGG,1,"Social Hall, 1st Avenue",508180,432864,
100,PKGA,1,"Gypsyville Multi-Purpose Centre, 728-730 Hessle Road",506504,427472,
101,PKGB,1,"Bethune Avenue Information Point, 54 Bethune Avenue",504571,427175,
102,PKGC,1,"Bethune Avenue Information Point, 54 Bethune Avenue",504571,427175,
103,PKGD,1,"Summergroves Pop-In Centre, Wheatfield Close",505722,426859,
104,PKGE,1,"St Nicholas Church Hall, Pickering Road",505344,427052,
105,PKGF,1,"Hair by Kayleigh, 16 Sibelius Road",504890,428008,
106,SCEA,1,"Preston Road Community Centre, 187A Preston Road",513681,430434,
107,SCEB,1,"Craven Lea Community Centre, 1/3 Endeavour Crescent, Holmpton Grove",513737,430028,
108,SCEC,1,"Southcoates Primary School, (Nursery Block), St John's Grove entrance",512613,430334,
109,SCED,1,"Former Preston Road Customer Service Centre, Preston Road Village Centre",513190,430567,Freedom Centre
110,SCEE,1,"Portobello Church Hall, Holderness Road",512760,431213,
111,SCWA,1,"Holderness Rd United Reformed Church Hall, 440-442 Holderness Road",511886,430564,
112,SCWB,1,"Sacred Heart Church Hall, Southcoates Lane",512469,430344,
113,SCWC,1,"Estcourt Primary School, Estcourt Street",511738,429835,
114,STAA,1,"Maurice Rawling Centre, 41 Bean Street",508266,428468,
115,STAB,1,"Boulevard Baptist Church, Gordon Street",507880,428118,
116,STAC,1,"Edinburgh St Community Centre, Edinburgh Street",507281,427978,
117,STAD,1,"St Matthew's Church Hall, Boulevard, (opposite Malm Street)",507744,428586,
118,SUTA,1,"St James Church Hall, Church Street, Sutton",511760,433024,
119,SUTB,1,"The Hut, Howdale Road, (Opposite Mallyan Close)",512105,433404,Street record
120,SUTC,1,"The Hut, Kestrel Avenue/Lapwing Close",511874,433691,Street record
121,SUTD,1,"Dorchester Primary School, Dorchester Road",510947,432862,
122,SUTE,1,"Sutton Park Primary School, Marsdale",509797,433068,
123,SUTE,1,"Sutton Park Primary School, Marsdale",509797,433068,
124,UNVA,1,"St Mary's Sports Academy, Cranbrook Avenue",508020,432150,
125,UNVB,1,"Hall Road Primary School, (Youth Wing), Hall Road",506725,431951,
126,UNVC,1,"Unity In Community, 501 Endike Lane, Corner of Langtoft Grove",506609,432551,
127,UNVD,1,"The MacMillan Centre, 21st Avenue",507483,432757,
